mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_umap__n_components,param_umap__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
28.622492527961732,0.6647941046223543,2.184722352027893,0.14848425130779472,5,20,50,"{'knn__n_neighbors': 5, 'umap__n_components': 20, 'umap__n_neighbors': 50}",0.6325878594249201,0.6112,0.5776,0.6384,0.6144,0.608,0.6096,0.6016,0.5904,0.5936,0.6077387859424921,0.017504400884523957,208
19.225573182106018,0.21203373383412238,1.8060544729232788,0.18046535728782068,5,30,10,"{'knn__n_neighbors': 5, 'umap__n_components': 30, 'umap__n_neighbors': 10}",0.5942492012779552,0.6112,0.5728,0.6352,0.5712,0.5872,0.5968,0.6016,0.6032,0.576,0.5949449201277954,0.018639134531404082,250
24.148529291152954,0.4885836906662484,1.819960927963257,0.17268609026742623,5,30,20,"{'knn__n_neighbors': 5, 'umap__n_components': 30, 'umap__n_neighbors': 20}",0.6182108626198083,0.6448,0.5776,0.6352,0.6352,0.6288,0.608,0.5888,0.5872,0.5728,0.6096610862619809,0.025115154070288293,197
27.1691504240036,0.22815371268438564,1.860964846611023,0.11991818398365708,5,30,30,"{'knn__n_neighbors': 5, 'umap__n_components': 30, 'umap__n_neighbors': 30}",0.65814696485623,0.6432,0.584,0.672,0.6384,0.6224,0.5984,0.592,0.5936,0.5728,0.617494696485623,0.03232699409278716,130
31.066604733467102,0.3922645252307709,2.133521628379822,0.1689700871403579,5,30,40,"{'knn__n_neighbors': 5, 'umap__n_components': 30, 'umap__n_neighbors': 40}",0.6118210862619808,0.6288,0.5872,0.624,0.6112,0.6112,0.6048,0.6032,0.5648,0.5968,0.604382108626198,0.017465478293751925,218
34.2038652420044,0.5143898872827781,2.166294074058533,0.14941586482237107,5,30,50,"{'knn__n_neighbors': 5, 'umap__n_components': 30, 'umap__n_neighbors': 50}",0.5942492012779552,0.5872,0.5872,0.6112,0.592,0.5824,0.592,0.592,0.544,0.6,0.5882249201277954,0.01654517037075628,266
10.440789246559143,1.2193845901414115,1.5458628416061402,0.1992855468072626,10,2,10,"{'knn__n_neighbors': 10, 'umap__n_components': 2, 'umap__n_neighbors': 10}",0.5766773162939297,0.5088,0.4816,0.5216,0.5424,0.52,0.5264,0.5616,0.5136,0.5312,0.528387731629393,0.02559495607227127,311
11.800139164924621,0.48289585902261317,1.6482834100723267,0.20226328489677198,10,2,20,"{'knn__n_neighbors': 10, 'umap__n_components': 2, 'umap__n_neighbors': 20}",0.5575079872204473,0.632,0.528,0.6224,0.5728,0.576,0.5344,0.5504,0.5696,0.5552,0.5698307987220448,0.03228635020029345,298
13.42495937347412,0.18151818832511563,1.6105101585388184,0.14150565519630315,10,2,30,"{'knn__n_neighbors': 10, 'umap__n_components': 2, 'umap__n_neighbors': 30}",0.5686900958466453,0.6064,0.5776,0.6336,0.5984,0.6016,0.5776,0.5632,0.5664,0.5616,0.5855090095846645,0.02239808488670141,277
15.14985830783844,0.2022357990883443,1.7662840604782104,0.14756664774162384,10,2,40,"{'knn__n_neighbors': 10, 'umap__n_components': 2, 'umap__n_neighbors': 40}",0.6054313099041534,0.5888,0.5664,0.6464,0.6096,0.5568,0.5824,0.5728,0.584,0.6,0.5912631309904153,0.024367048090338204,257
